Days,Mean,St dev,co relation
59,5748.3,1139.216633,0.842062485
60,4831.6,955.0676939,0.927797655
61,5763.55,1400.028175,0.756454455
62,9383.2,13301.52468,-0.261477918
63,7348.05,3563.250209,0.850401689
64,7395.85,3179.392184,0.766985869
65,6867.9,2145.531339,0.83339552
66,6912.4,2059.446947,0.845844561
67,6805.9,1944.806902,0.851791536
68,6342.7,1451.914928,0.885639474
69,6407.3,1361.986324,0.761160087
70,6463.05,1445.841896,0.934294768
71,6515.3,1646.362948,0.913994085
72,6497.9,1647.925615,0.862208428
73,6581.4,1574.394333,0.782191102
74,7050.45,3128.905853,0.695097141
75,7046.2,2217.390135,0.742152001
76,7060.5,2387.247865,0.897225368
77,6953.85,1909.367497,0.786369058
78,6905.8,1931.408856,0.917220516
79,7334.7,1840.795397,0.825253557
80,7639.6,2565.001475,0.941048311
81,7544.5,2529.970824,0.951993086
82,7874.95,2742.486875,0.927330152
83,8663.2,3515.583123,0.861231735
84,7922.7,3147.335249,0.902886295
85,8403.8,2806.973733,0.765263571
86,8280.3,2150.214606,0.918988933
87,8131.3,2150.495955,0.934974027
88,8079.75,2172.573053,0.978805019
89,8127.3,2241.377117,0.94257288
90,8752.75,2641.212937,0.910517383
91,8740,2495.710699,0.904701182
92,8867.85,2624.234149,0.889388475
93,8700.35,2567.207151,0.93198172
94,8684.7,2078.166831,0.859062722
95,8954.2,2153.152416,0.938571928
96,8884.55,2284.991523,0.905219046
97,8940.65,2202.271035,0.950343366
98,9089.7,2102.777139,0.915453556
99,9015.75,2003.53989,0.897697599
100,9646.9,2342.640254,0.873505337
101,9967.15,2579.241367,0.927970227
102,9530.6,2415.310646,0.857415209
103,9383.75,2139.283768,0.840973037
104,9669.85,2510.091554,0.783078614
105,10174.5,2607.865421,0.945520161
106,10322.1,2791.57816,0.848238704
107,10066.1,2808.596407,0.950385217
108,10603.15,2995.822025,0.956305886
109,10932.55,3008.929229,0.960689993
110,11198.25,3183.382757,0.919345693
111,11744.05,3499.479638,0.942648189
112,12403.7,4015.000703,0.871350573
113,12899.55,4852.484491,0.95893641
114,12676.1,4286.501504,0.929534032
115,12995.15,4687.671774,0.953464556
116,13520.45,4952.870709,0.96001099
117,13963.8,5414.656898,0.952125156
118,14358.5,5539.713963,0.977525641
119,14199.15,4928.45473,0.94679605
120,14142.45,4321.09246,0.904860363
121,14303.25,4192.462834,0.9431414
122,14806.45,4845.686997,0.943857506
123,15138.8,4773.992267,0.946137718
124,15711.55,3876.723501,0.933473673
125,15302.05,3351.451853,0.86343331
126,15755.25,3384.956206,0.827629752
127,16398.75,4476.766912,0.875939373
128,17219.9,5155.626767,0.894403374
129,18293.4,6218.824423,0.938887031
130,18676.6,6631.147709,0.959035092
131,20004.25,6950.248794,0.907277532
132,20915.2,7142.950316,0.957100832
133,21338.3,7089.103663,0.958865582
134,21833.6,7043.890809,0.970228081
135,21765,7374.034617,0.950500477
136,21486.3,7452.694222,0.943629877
137,22343.15,8030.667451,0.968110146
138,22724,8855.144214,0.958020783
139,24128.35,9399.511568,0.969347883
140,25430.25,9226.332435,0.970989569
141,25614.6,8713.990369,0.966187558
142,26029.05,8486.167844,0.949370815
143,26008.55,8265.137643,0.941960756
144,25652.45,8672.928198,0.948371524
145,26479.2,8365.287296,0.965079681
146,26784.75,8375.437685,0.963198338
147,26983.25,8993.146495,0.947173728
148,26324.05,9397.90935,0.951813285
149,25664.65,9705.187312,0.982130634
150,25570.6,9221.573946,0.957509076
151,25038.45,8200.084451,0.97216444
152,24670.5,7797.45774,0.957393852
153,24337.4,8419.359811,0.942119263
154,25434,9104.197014,0.94342714
155,26269.8,9199.739433,0.923142334
156,26573.4,9888.497924,0.950851706
157,27173,10526.35554,0.969218618
158,27160,10183.61977,0.953411134
159,27681.2,10051.06535,0.962883776
160,28472.5,10381.93759,0.958595611
161,30318.4,11296.66028,0.916495015
162,32650.9,13581.1548,0.957563366
163,32625.9,13806.1536,0.919060304
164,32978.35,13594.24194,0.977852642
165,32945.95,12486.36597,0.950743143
166,31968.45,12542.10456,0.949214562
167,32201.85,12167.97962,0.953600794
168,33832,13237.75912,0.973947348
169,34267.95,10731.77301,0.939457447
170,35580.15,12055.1002,0.946988316
171,35483.5,13183.9958,0.929023387
172,33056.5,14901.29356,0.626852495
173,34249.35,12673.41636,0.658201277
174,33951.85,10886.13285,0.966143684
175,34441.35,9485.579239,0.954535196
176,35130.95,9316.968654,0.88483398
177,36714,10200.90954,0.931461736
178,38140.95,11375.65937,0.95466074
179,40338.55,14275.1999,0.933075673
180,40845.3,14820.22104,0.944836466
