,,Time,,Levels(ft),Inflows(Cs),Disch(Cs) 
2019,20-Apr-19,110,2019.299,1622.54,13682,7879
2019,21-Apr-19,111,2019.301,1622.95,14646,8038
2019,22-Apr-19,112,2019.304,1623.43,16083,8347
2019,23-Apr-19,113,2019.307,1623.83,16422,9975
2019,24-Apr-19,114,2019.31,1623.97,19622,17366
2019,25-Apr-19,115,2019.312,1624.11,20767,18510
2019,26-Apr-19,116,2019.315,1624.18,21007,19879
2019,27-Apr-19,117,2019.318,1624.12,21705,22672
2019,28-Apr-19,118,2019.321,1624,20949,22883
2019,29-Apr-19,119,2019.323,1623.91,21512,22963
2019,30-Apr-19,120,2019.326,1623.86,22237,23043
